User ID,User display name,Timestamp,আপনি কত সালে প্রথমবার লিনাক্স ব্যবহার করেছেন?,আপনি প্রথমবার কোন ওএস ব্যবহার করছেন?,আপনি এখন কোন প্রসেসর ব্যবহার করছেন?,আপনার সিস্টেমে কত RAM আছে?,আপনি এখন কোন ওএস ব্যবহার করছেন?,আপনি এখন কোন ডেস্কটপ এনভায়রনমেন্ট ব্যবহার করছেন?,আপনি কি টাইলিং উইন্ডো ম্যানেজার ব্যবহার করেন?,আপনি এখন কোন টাইলিং উইন্ডো ম্যানেজার ব্যবহার করছেন?,আপনি কোন টার্মিনাল এমুলেটর ব্যবহার করেন?,আপনার প্রিয় শেল (Shell) কোনটি?,আপনি কোন বাংলা কিবোর্ড লেআউট ব্যবহার করেন?,আপনি এখন কোন ব্রাউজার ব্যবহার করছেন?,আপনি নোট নেওয়ার জন্য কোন অ্যাপ ব্যবহার করেন?,আপনি কোন পাসওয়ার্ড ম্যানেজার ব্যবহার করেন?
,Anonymous user,2025-12-16T19:06:37+06:00,2023,Ubuntu,x86_64,8GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Google Keep,None
,Anonymous user,2025-12-16T19:40:15+06:00,2022,ArchLinux,x86_64,16GB,ArchLinux,XFCE,না,Hyprland,Xfce Terminal,Fish,অভ্র,Brave,Notesnook,Bitwarden
,Anonymous user,2025-12-16T20:35:21+06:00,2024,Linux Mint,x86_64,8GB,Fedora,GNOME,না,,GNOME Terminal,None,জাতীয়,Mozilla Firefox + Tor Browser,Joplin,Proton Pass; Bitwarden
,Anonymous user,2025-12-16T20:35:46+06:00,2023,Linux Mint,x86_64,8GB,Debian,GNOME,না,None,GNOME Terminal,Bash,অভ্র,Yandex,Google Keep,Proton Pass
,Anonymous user,2025-12-16T20:52:43+06:00,2018,Ubuntu,arm64,32GB,Windows,,,,GNOME Terminal,Bash,অভ্র,Brave,Google Keep,
,Anonymous user,2025-12-16T20:59:46+06:00,2016,Xubuntu,x86_64,16GB,Linux Mint,Cinnamon,না,,,Zsh,প্রভাত,Brave,Google Keep; Simplenote,Bitwarden
,Anonymous user,2025-12-16T21:19:58+06:00,2023,Ubuntu,x86_64,8GB,Fedora,GNOME,না,No idea,GNOME Terminal,Bash,অভ্র,WaterFox,Google Keep,Bitwarden
,Anonymous user,2025-12-16T21:37:35+06:00,2023,Linux Mint,x86_64,8GB,ArchLinux,KDE,হ্যাঁ,Hyprland,Foot,Fish,প্রভাত,Zen,Appflowy,
,Anonymous user,2025-12-16T22:32:37+06:00,2024,Ubuntu,x86_64,4GB,ArchLinux,XFCE,না,i3wm,Kitty,Zsh,অভ্র,Microsoft Edge,Obsidian; Google Keep,Proton Pass
,Anonymous user,2025-12-16T22:33:53+06:00,2023,Ubuntu,x86_64,8GB,Fedora,GNOME,না,,GNOME Terminal,Bash,অভ্র,Google Chrome,Google Keep,
,Anonymous user,2025-12-16T23:11:01+06:00,2009,Linux Mint,x86_64,32GB,ArchLinux,BSPWM;Hyprland,হ্যাঁ,bspwm and hyprland,Alacritty,Fish,,Librewolf,,
,Anonymous user,2025-12-16T23:11:23+06:00,,Linux Mint,x86,16GB,Manjaro,XFCE,হ্যাঁ,i3wm,Mint,Zsh,,Brave,Obsidian,Bitwarden
,Anonymous user,2025-12-16T23:13:09+06:00,2015,Ubuntu,x86_64,16GB,Manjaro,KDE;XFCE,না,,Konsole,Fish,অভ্র,Vivaldi,Obsidian; Google Keep; Samsung Notes,"KeePass (KeePassXC, KeePassDX); Bitwarden"
,Anonymous user,2025-12-16T23:21:36+06:00,2024,Linux Mint,x86_64,8GB,Linux Mint,GNOME,না,Never used,Don't know,Don't know,অভ্র,Brave,Google Keep,None
,Anonymous user,2025-12-16T23:28:40+06:00,,Ubuntu,x86_64,24GB,Ubuntu,GNOME,হ্যাঁ,Hyprland,GNOME Terminal,Zsh,None,Brave,Google Keep; Google Sheet,None
,Anonymous user,2025-12-17T00:02:49+06:00,2018,Ubuntu,x86_64,16GB,Pop!_OS,Cosmic,না,Cosmic,Cosmic Terminal,Bash,প্রভাত,Google Chrome,Joplin,Bitwarden
,Anonymous user,2025-12-17T00:03:05+06:00,2016,Ubuntu,x86_64,16GB,Fedora,GNOME,না,None,GNOME Terminal,Zsh,অভ্র,Mozilla Firefox,Obsidian; Notion,None
,Anonymous user,2025-12-17T00:27:22+06:00,2019,Ubuntu,x86,16GB,Pop!_OS,Cosmic,হ্যাঁ,Cosmic,Konsole,Bash,None,Google Chrome,Obsidian,None
,Anonymous user,2025-12-17T00:28:53+06:00,2017,Ubuntu,x86_64,32GB,ArchLinux,Openbox,হ্যাঁ,bspwm,warp,Zsh,প্রভাত,Google Chrome,Notion; Google Keep,
,Anonymous user,2025-12-17T01:41:13+06:00,2011,Ubuntu,x86_64,8GB,Debian,XFCE,না,None,Kitty,Bash,অভ্র,Google Chrome,Evernote; Google Keep,"Proton Pass; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-17T02:20:31+06:00,2014,Linux Mint,x86_64,16GB,Linux Mint,Cinnamon,না,None,Default,Bash,Google Input Tools,Mozilla Firefox,Anytype,Firefox
,Anonymous user,2025-12-17T04:45:00+06:00,2017,Ubuntu,x86_64,4GB,ArchLinux,GNOME,হ্যাঁ,Hyprland,Ghostty,Zsh,অভ্র,Vivaldi,Google Keep,Bitwarden
,Anonymous user,2025-12-17T06:39:25+06:00,2021,Ubuntu,x86_64,16GB,Ubuntu,GNOME,হ্যাঁ,Hyprland,Kitty,Zsh,প্রভাত,Brave,Obsidian,
,Anonymous user,2025-12-17T07:52:07+06:00,,Ubuntu,x86_64,32GB,Ubuntu,KDE,,Awesome,GNOME Terminal,Bash,অভ্র,Google Chrome,Notion; Google Keep,Bitwarden
,Anonymous user,2025-12-17T07:54:53+06:00,1998,Red Hat,x86_64,24GB,Kubuntu,KDE,না,None,Yakuake,Bash,প্রভাত,Mozilla Firefox,Google Keep,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-17T10:12:53+06:00,2019,Ubuntu,x86_64,16GB,Fedora,KDE,না,Awesome,Konsole,Bash,অভ্র,Brave,Google Keep,Proton Pass
,Anonymous user,2025-12-17T10:57:31+06:00,2015,Ubuntu,arm64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Google Chrome,Joplin,
,Anonymous user,2025-12-17T12:03:10+06:00,2018,Ubuntu,x86_64,8GB,Ubuntu,GNOME,হ্যাঁ,Awesome,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Notion,Bitwarden
,Anonymous user,2025-12-17T12:20:49+06:00,2021,Ubuntu,x86_64,16GB,Manjaro,GNOME,না,,GNOME Terminal,Bash,অভ্র,Microsoft Edge,Google Keep,
,Anonymous user,2025-12-17T14:28:25+06:00,2024,Fedora,x86_64,16GB,Fedora,GNOME,না,Hyprland,GNOME Terminal,Bash,অভ্র,Zen,Handbook,Brain
,Anonymous user,2025-12-17T15:01:24+06:00,2014,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Google Chrome,Google Keep; Apple Notes,Proton Pass
,Anonymous user,2025-12-17T15:48:50+06:00,2017,Ubuntu,x86_64,16GB,Void Linux,KDE,না,None,Konsole,Zsh,অভ্র,Brave,Google Keep,None
,Anonymous user,2025-12-17T16:36:13+06:00,2016,Ubuntu,x86_64,8GB,Ubuntu,KDE,না,None,GNOME Terminal,Bash,প্রভাত,Mozilla Firefox,Obsidian; Google Keep,"Bitwarden; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-17T19:36:47+06:00,2017,Ubuntu,x86_64,12GB,EOS ,XFCE,না,Hyprland,Ghosty ,Fish,OpenBangla Keyboard,Mozilla Firefox,Google Keep,Proton Pass
,Anonymous user,2025-12-17T20:05:54+06:00,2016,Xubuntu,x86_64,16GB,Linux Mint,Cinnamon,না,,GNOME Terminal,Bash,প্রভাত,Brave,Google Keep; Simplenote,Bitwarden
,Anonymous user,2025-12-17T21:56:07+06:00,2019,Ubuntu,x86,20GB,Fedora,GNOME,হ্যাঁ,Awesome,GNOME Terminal,Bash,অভ্র,Brave,Google Keep,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-17T22:02:58+06:00,2015,Linux Mint,x86_64,32GB,ArchLinux,XFCE,না,,Kitty,Zsh,অভ্র,Mozilla Firefox,,Firefox
,Anonymous user,2025-12-18T01:28:54+06:00,2017,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,Guake,Zsh,প্রভাত,Google Chrome,Notion; Google Keep,Bitwarden
,Anonymous user,2025-12-18T02:04:48+06:00,2023,ArchLinux,x86_64,16GB,ArchLinux,None,হ্যাঁ,xmonad,Alacritty,Bash,OpenBangla Keyboard,Brave,Neovim,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-18T09:11:53+06:00,2018,Ubuntu,x86_64,8GB,ArchLinux,KDE,হ্যাঁ,Hyprland,Konsole,Bash,অভ্র,Brave,Obsidian,None
,Anonymous user,2025-12-18T10:20:14+06:00,,Ubuntu,x86_64,16GB,Pop!_OS,GNOME,হ্যাঁ,,GNOME Terminal,Zsh,অভ্র,Brave,,
,Anonymous user,2025-12-18T10:57:14+06:00,2008,Ubuntu,x86_64,4GB,Ubuntu,XFCE,হ্যাঁ,i3wm,Alacritty,Zsh,অভ্র,Brave,Notion; Notesnook; Google Keep; Apple Notes,Own customized application
,Anonymous user,2025-12-18T11:40:54+06:00,2007,Ubuntu,x86_64,64GB,Ubuntu,GNOME,না,None,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Google Keep,Bitwarden
,Anonymous user,2025-12-18T14:30:56+06:00,2005,Fedora,x86_64,8GB,Ubuntu,GNOME,না,i3wm,GNOME Terminal,Bash,অভ্র,Google Chrome,Evernote,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-18T15:59:22+06:00,2008,Ubuntu,x86,32GB,CentOS ,GNOME,না,i3wm,Konsole,Bash,,Brave,Evernote; Notesnook; Google Keep,
,Anonymous user,2025-12-18T17:27:54+06:00,2024,ArchLinux,x86_64,4GB,ArchLinux,KDE,হ্যাঁ,Hyprland,Konsole,Bash,Bijoy,Mozilla Firefox,Text documents (.txt),None
,Anonymous user,2025-12-18T19:53:02+06:00,2019,Kali Linux,x86_64,8GB,ArchLinux,,হ্যাঁ,i3wm,Kitty,Fish,,Mozilla Firefox,Google Keep,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-18T20:37:17+06:00,2017,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Notion,Proton Pass
,Anonymous user,2025-12-18T23:08:25+06:00,2021,Linux Mint,x86_64,8GB,NixOS,Hyprland + Quickshell,হ্যাঁ,Hyprland,Kitty,Fish,None,Brave,,Bitwarden
,Anonymous user,2025-12-19T00:36:30+06:00,2013,Ubuntu,x86_64,8GB,Fedora,KDE,হ্যাঁ,Hyprland,Kitty,Zsh,প্রভাত,Mozilla Firefox,Obsidian,"Bitwarden; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-19T03:23:32+06:00,2016,Ubuntu,x86_64,32GB,ArchLinux,KDE,হ্যাঁ,i3wm,Konsole,Zsh,অভ্র,Google Chrome,Evernote,Bitwarden
